rank|msa|WetPopulation
167|JACKSONVILLE,FL|865599.75
168|SEARCY,AR|863839.3
169|FAYETTEVILLE,NC|862230.7
170|BINGHAMTON,NY|857352.44
171|RACINE,WI|852641.8
172|WAUSAU,WI|832240.94
173|DOTHAN,AL|831609.9
174|WATERLOO,IA|827456.8
175|VICTORIA,TX|812883.75
176|CHARLOTTE,NC|790718.4
177|JACKSON,TN|790019.8
178|BOWLING GREEN,KY|789057.4
179|STILLWATER,OK|772769.94
180|TALLAHASSEE,FL|751411.2
181|CORSICANA,TX|738383.1
182|MUSCLE SHOALS,AL|735130.1
183|GAINESVILLE,TX|729398.75
184|LOGAN,UT|716468.2
185|READING,PA|714893.94
186|GAINESVILLE,FL|712424.25
187|BATTLE CREEK,MI|712131.3
188|SALISBURY,MD|708622.25
189|ALLENTOWN,PA|707032.7
190|AUGUSTA,GA|706582.75
191|EL PASO,TX|701225.94
192|ASHEVILLE,NC|690321.3
193|SAGINAW,MI|660575.2
194|HAGERSTOWN,MD|651760.6
195|PARIS,TX|650300.5
196|DECATUR,IL|649488.75
197|BISMARCK,ND|648343.1
198|TERRE HAUTE,IN|642490.4
199|WINTER HAVEN,FL|642300.06
200|GOSHEN,IN|637755.25
201|SPOKANE,WA|635258.2
202|BURLINGTON,VT|635246.0
203|IDAHO FALLS,ID|634267.94
204|BAKERSFIELD,CA|632472.75
205|BENTON HARBOR,MI|631301.9
206|NEW HAVEN,CT|617422.4
207|LEBANON,NH|615628.75
208|LAWTON,OK|596734.25
209|SIOUX CITY,IA|596213.44
210|CAPE GIRARDEAU,MO|592856.8
211|HICKORY,NC|592701.7
212|DURHAM,NC|571133.8
213|MUSKEGON,MI|569821.44
214|FRESNO,CA|568325.9
215|WORCESTER,MA|567550.25
216|TUSCALOOSA,AL|565996.44
217|TRAVERSE CITY,MI|563566.0
218|ROANOKE,VA|558381.25
219|DUBUQUE,IA|554562.1
220|MUNCIE,IN|551822.25
221|HOLLAND,MI|547626.3
222|OSHKOSH,WI|547576.94
223|ATHENS,GA|541759.0
224|MANSFIELD,OH|541673.3
225|STEPHENVILLE,TX|541428.75
226|FAIRHOPE,AL|525128.0
227|HARLINGEN,TX|521923.4
228|SALINA,KS|517118.25
229|CRESTVIEW,FL|516784.3
230|CARBONDALE,IL|502285.4
231|HARRISON,AR|499476.97
232|ASHTABULA,OH|498703.78
233|LIMA,OH|496653.7
234|PALESTINE,TX|495718.38
235|TALLADEGA,AL|487589.03
236|DUNKIRK,NY|487321.1
237|PINE BLUFF,AR|486478.16
238|PONCA CITY,OK|483474.12
239|MEADVILLE,PA|472163.9
240|RENO,NV|472043.7
241|PUNTA GORDA,FL|465591.5
242|SHEBOYGAN,WI|461995.97
243|BRENHAM,TX|461850.72
244|SAVANNAH,GA|461706.34
245|YAKIMA,WA|456710.38
246|CHARLESTON,WV|443582.94
247|RAPID CITY,SD|442949.5
248|GRAND FORKS,ND|440371.97
249|LYNCHBURG,VA|439639.38
250|TITUSVILLE,FL|438906.06
